event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,KSI_fast,KSI_slow,KSI_combined,is_flood,flood_event_id
609898,12/13/2015,MOCA CO.,18.3677,-67.0961,0,Heavy Rain,3.365,0.0,0.15,0.0,0.49,0.47,1.585,117,8.87,Plata,"Plata clay, 40 to 60 percent slopes, eroded",1,3.3677473458333105,4.657149014134829,3.883508013153918,1,609898
631856,04/23/2016,SAN JUAN CO.,18.4404,-66.052,0,Heavy Rain,36.61,3.175,0.0,0.145,2.935,12.995,0.0,23,2.45,Urban land,Urban land,1,37.03968952427624,47.47583754908421,41.214148734199426,1,631856
631861,04/23/2016,SAN JUAN CO.,18.4247,-66.0429,0,Heavy Rain,36.61,3.175,0.0,0.145,2.935,12.995,0.0,3,0.52,Urban land,Urban land,1,37.03968952427624,47.47583754908421,41.214148734199426,1,631861
632052,04/23/2016,LUQUILLO CO.,18.3802,-65.7179,0,Heavy Rain,31.59,12.47,1.525,2.105,1.59,12.25,0.0,7,1.81,Urban land,"Urban land-Catano complex, 0 to 2 percent slopes",0,33.30556233126588,51.81203664149246,40.708152055356514,1,632052
631867,04/23/2016,FAJARDO CO.,18.3428,-65.6592,0,Heavy Rain,55.075,5.01,1.305,0.08,0.68,10.565,0.375,15,1.32,Leveled clayey land,Leveled clayey land,0,55.77693167776523,66.1660070431275,59.932561823910135,1,631867
632053,04/23/2016,LUQUILLO CO.,18.337,-65.7252,0,Heavy Rain,31.59,12.47,1.525,2.105,1.59,12.25,0.0,112,11.99,Humatas,"Humatas-Stony land complex, 40 to 60 percent slopes",0,33.30556233126588,51.81203664149246,40.708152055356514,1,632053
631863,04/23/2016,LUQUILLO CO.,18.3218,-65.7197,0,Heavy Rain,31.59,12.47,1.525,2.105,1.59,12.25,0.0,232,4.81,Humatas,"Humatas-Zarzal complex, 5 to 40 percent slopes",0,33.30556233126588,51.81203664149246,40.708152055356514,1,631863
631865,04/23/2016,FAJARDO CO.,18.346,-65.6389,0,Heavy Rain,55.075,5.01,1.305,0.08,0.68,10.565,0.375,12,5.94,Descalabrado,"Descalabrado clay loam, 20 to 40 percent slopes, eroded",0,55.77693167776523,66.1660070431275,59.932561823910135,1,631865
631864,04/23/2016,LUQUILLO CO.,18.35,-65.72,0,Heavy Rain,31.59,12.47,1.525,2.105,1.59,12.25,0.0,29,0.58,Rio Arriba,"Rio Arriba clay, 5 to 12 percent slopes, eroded",0,33.30556233126588,51.81203664149246,40.708152055356514,1,631864
632054,04/25/2016,CANOVANAS CO.,18.33,-65.88,0,Heavy Rain,13.81,0.88,55.89,4.185,0.69,0.415,1.14,117,5.28,Humatas,"Humatas-Stony land complex, 40 to 60 percent slopes",1,14.952756106739573,60.37579125449857,33.12197016584317,1,632054
