event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,flood_event_id,KSI_fast,KSI_slow,KSI_combined
ctrl_0028,11/19/2022,SAN JUAN CO.,18.4247,-66.0429,0,None,0.0,0.0,1.405,0.0,15.635,0.305,0.0,3,0.52,Urban land,Urban land,1,631861,0.025733472638671522,10.034503640526964,4.029241539793988
ctrl_0029,02/17/2021,LUQUILLO CO.,18.3802,-65.7179,0,None,2.115,0.0,0.0,0.155,0.415,0.735,0.0,7,1.81,Urban land,"Urban land-Catano complex, 0 to 2 percent slopes",0,632052,2.115,2.8101441943248946,2.393057677729958
ctrl_0030,09/22/2019,FAJARDO CO.,18.3428,-65.6592,0,None,49.25,1.785,0.035,0.685,0.0,1.41,19.475,15,1.32,Leveled clayey land,Leveled clayey land,0,631867,49.49221452793846,60.224829420254395,53.785260484864835
ctrl_0031,06/28/2017,LUQUILLO CO.,18.337,-65.7252,0,None,0.0,0.0,7.96,0.545,0.0,0.0,0.305,112,11.99,Humatas,"Humatas-Stony land complex, 40 to 60 percent slopes",0,632053,0.14579248555432406,6.466227257165171,2.673966394198663
ctrl_0032,01/21/2020,LUQUILLO CO.,18.3218,-65.7197,0,None,1.23,3.605,1.195,0.4,0.2,0.625,5.545,232,4.81,Humatas,"Humatas-Zarzal complex, 5 to 40 percent slopes",0,631863,1.7397708845400262,8.285740407740128,4.358158693820068
ctrl_0033,08/17/2021,FAJARDO CO.,18.346,-65.6389,0,None,0.0,5.715,68.8,1.62,0.365,0.0,8.185,12,5.94,Descalabrado,"Descalabrado clay loam, 20 to 40 percent slopes, eroded",0,631865,2.033557099242153,61.39079009025094,25.77645029564567
ctrl_0034,02/20/2018,LUQUILLO CO.,18.35,-65.72,0,None,0.23,0.0,1.215,3.07,1.27,1.18,0.2,29,0.58,Rio Arriba,"Rio Arriba clay, 5 to 12 percent slopes, eroded",0,631864,0.25225350124981205,4.522688560069262,1.960427524777592
ctrl_0035,02/05/2024,CANOVANAS CO.,18.33,-65.88,0,None,1.245,0.0,0.06,0.13,0.085,0.825,0.0,117,5.28,Humatas,"Humatas-Stony land complex, 40 to 60 percent slopes",1,632054,1.246098938333324,1.8266486245687001,1.4783188128274745
ctrl_0036,10/07/2024,CAGUAS CO.,18.2365,-66.0245,0,None,0.655,8.55,15.465,1.83,13.945,0.0,4.215,64,0.26,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,632057,2.095368027087313,30.54426161148173,13.474925460845082
ctrl_0037,02/03/2015,CAGUAS CO.,18.2389,-66.0127,0,None,0.0,0.0,0.0,0.0,0.275,0.0,0.0,59,0.52,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,632056,0.0,0.15529748355213382,0.06211899342085353
